Crop_Medicine,Uses_When_to_Use
Bacillus subtilis,"For okra crops, use when root rot is seen at the after first symptom appearance. Use as a preventive support when risk is high. Prefer soil testing for repeated nutrient issues."
Bacillus thuringiensis (Bt),"For grapes crops, use when yellowing leaves is seen at the when crop growth slows down. Use in an integrated pest management plan. Rotate methods to reduce resistance risk."
Copper Oxychloride,"For banana crops, use when soil health stress is seen at the flowering stage. Use when symptoms first appear and monitor results. Combine with sanitation and field monitoring."
Mancozeb,"For mango crops, use when fungal infection is seen at the when pest count increases. Use for bio-based field protection and crop support. Keep a record of field observations."
Sulphur Dust,"For apple crops, use when fruit borer is seen at the early crop stage. Use only as per label and local agriculture advice. Check weather before any field spray."
Humic Acid,"For soybean crops, use when whiteflies is seen at the during humid weather. Use only after confirming the problem in the field. Prefer soil testing for repeated nutrient issues."
Seaweed Extract,"For groundnut crops, use when stem borer is seen at the before disease spreads widely. Use as a preventive support when risk is high. Rotate methods to reduce resistance risk."
Zinc Sulphate,"For sugarcane crops, use when downy mildew is seen at the fruiting stage. Use in an integrated pest management plan. Combine with sanitation and field monitoring."
Ferrous Sulphate,"For tea crops, use when late blight is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Keep a record of field observations."
Calcium Nitrate,"For coffee crops, use when nutrient deficiency is seen at the vegetative stage. Use for bio-based field protection and crop support. Check weather before any field spray."
Potassium Nitrate,"For cucumber crops, use when fruit drop is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Prefer soil testing for repeated nutrient issues."
Boron Spray,"For pumpkin crops, use when seedling disease is seen at the during transplant recovery. Use only after confirming the problem in the field. Rotate methods to reduce resistance risk."
Gypsum,"For watermelon crops, use when weed pressure is seen at the after first symptom appearance. Use as a preventive support when risk is high. Combine with sanitation and field monitoring."
Lime,"For rice crops, use when aphids is seen at the when crop growth slows down. Use in an integrated pest management plan. Keep a record of field observations."
Sticky Trap,"For wheat crops, use when mites is seen at the flowering stage. Use when symptoms first appear and monitor results. Check weather before any field spray."
Pheromone Trap,"For maize crops, use when powdery mildew is seen at the when pest count increases. Use for bio-based field protection and crop support. Prefer soil testing for repeated nutrient issues."
Spinosad,"For cotton crops, use when early blight is seen at the early crop stage. Use only as per label and local agriculture advice. Rotate methods to reduce resistance risk."
Horticultural Soap,"For tomato crops, use when wilt is seen at the during humid weather. Use only after confirming the problem in the field. Combine with sanitation and field monitoring."
Compost Tea,"For chili crops, use when poor flowering is seen at the before disease spreads widely. Use as a preventive support when risk is high. Keep a record of field observations."
Silicon Supplement,"For potato crops, use when moisture stress is seen at the fruiting stage. Use in an integrated pest management plan. Check weather before any field spray."
Mycorrhiza,"For onion crops, use when bacterial spotting is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Prefer soil testing for repeated nutrient issues."
Biochar,"For garlic crops, use when sucking pests is seen at the vegetative stage. Use for bio-based field protection and crop support. Rotate methods to reduce resistance risk."
Neem Oil,"For brinjal crops, use when thrips is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Combine with sanitation and field monitoring."
Azadirachtin,"For cabbage crops, use when leaf folder is seen at the during transplant recovery. Use only after confirming the problem in the field. Keep a record of field observations."
Trichoderma viride,"For cauliflower crops, use when leaf spot is seen at the after first symptom appearance. Use as a preventive support when risk is high. Check weather before any field spray."
Pseudomonas fluorescens,"For okra crops, use when root rot is seen at the when crop growth slows down. Use in an integrated pest management plan. Prefer soil testing for repeated nutrient issues."
Bacillus subtilis,"For grapes crops, use when yellowing leaves is seen at the flowering stage. Use when symptoms first appear and monitor results. Rotate methods to reduce resistance risk."
Bacillus thuringiensis (Bt),"For banana crops, use when soil health stress is seen at the when pest count increases. Use for bio-based field protection and crop support. Combine with sanitation and field monitoring."
Copper Oxychloride,"For mango crops, use when fungal infection is seen at the early crop stage. Use only as per label and local agriculture advice. Keep a record of field observations."
Mancozeb,"For apple crops, use when fruit borer is seen at the during humid weather. Use only after confirming the problem in the field. Check weather before any field spray."
Sulphur Dust,"For soybean crops, use when whiteflies is seen at the before disease spreads widely. Use as a preventive support when risk is high. Prefer soil testing for repeated nutrient issues."
Humic Acid,"For groundnut crops, use when stem borer is seen at the fruiting stage. Use in an integrated pest management plan. Rotate methods to reduce resistance risk."
Seaweed Extract,"For sugarcane crops, use when downy mildew is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Combine with sanitation and field monitoring."
Zinc Sulphate,"For tea crops, use when late blight is seen at the vegetative stage. Use for bio-based field protection and crop support. Keep a record of field observations."
Ferrous Sulphate,"For coffee crops, use when nutrient deficiency is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Check weather before any field spray."
Calcium Nitrate,"For cucumber crops, use when fruit drop is seen at the during transplant recovery. Use only after confirming the problem in the field. Prefer soil testing for repeated nutrient issues."
Potassium Nitrate,"For pumpkin crops, use when seedling disease is seen at the after first symptom appearance. Use as a preventive support when risk is high. Rotate methods to reduce resistance risk."
Boron Spray,"For watermelon crops, use when weed pressure is seen at the when crop growth slows down. Use in an integrated pest management plan. Combine with sanitation and field monitoring."
Gypsum,"For rice crops, use when aphids is seen at the flowering stage. Use when symptoms first appear and monitor results. Keep a record of field observations."
Lime,"For wheat crops, use when mites is seen at the when pest count increases. Use for bio-based field protection and crop support. Check weather before any field spray."
Sticky Trap,"For maize crops, use when powdery mildew is seen at the early crop stage. Use only as per label and local agriculture advice. Prefer soil testing for repeated nutrient issues."
Pheromone Trap,"For cotton crops, use when early blight is seen at the during humid weather. Use only after confirming the problem in the field. Rotate methods to reduce resistance risk."
Spinosad,"For tomato crops, use when wilt is seen at the before disease spreads widely. Use as a preventive support when risk is high. Combine with sanitation and field monitoring."
Horticultural Soap,"For chili crops, use when poor flowering is seen at the fruiting stage. Use in an integrated pest management plan. Keep a record of field observations."
Compost Tea,"For potato crops, use when moisture stress is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Check weather before any field spray."
Silicon Supplement,"For onion crops, use when bacterial spotting is seen at the vegetative stage. Use for bio-based field protection and crop support. Prefer soil testing for repeated nutrient issues."
Mycorrhiza,"For garlic crops, use when sucking pests is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Rotate methods to reduce resistance risk."
Biochar,"For brinjal crops, use when thrips is seen at the during transplant recovery. Use only after confirming the problem in the field. Combine with sanitation and field monitoring."
Neem Oil,"For cabbage crops, use when leaf folder is seen at the after first symptom appearance. Use as a preventive support when risk is high. Keep a record of field observations."
Azadirachtin,"For cauliflower crops, use when leaf spot is seen at the when crop growth slows down. Use in an integrated pest management plan. Check weather before any field spray."
Trichoderma viride,"For okra crops, use when root rot is seen at the flowering stage. Use when symptoms first appear and monitor results. Prefer soil testing for repeated nutrient issues."
Pseudomonas fluorescens,"For grapes crops, use when yellowing leaves is seen at the when pest count increases. Use for bio-based field protection and crop support. Rotate methods to reduce resistance risk."
Bacillus subtilis,"For banana crops, use when soil health stress is seen at the early crop stage. Use only as per label and local agriculture advice. Combine with sanitation and field monitoring."
Bacillus thuringiensis (Bt),"For mango crops, use when fungal infection is seen at the during humid weather. Use only after confirming the problem in the field. Keep a record of field observations."
Copper Oxychloride,"For apple crops, use when fruit borer is seen at the before disease spreads widely. Use as a preventive support when risk is high. Check weather before any field spray."
Mancozeb,"For soybean crops, use when whiteflies is seen at the fruiting stage. Use in an integrated pest management plan. Prefer soil testing for repeated nutrient issues."
Sulphur Dust,"For groundnut crops, use when stem borer is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Rotate methods to reduce resistance risk."
Humic Acid,"For sugarcane crops, use when downy mildew is seen at the vegetative stage. Use for bio-based field protection and crop support. Combine with sanitation and field monitoring."
Seaweed Extract,"For tea crops, use when late blight is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Keep a record of field observations."
Zinc Sulphate,"For coffee crops, use when nutrient deficiency is seen at the during transplant recovery. Use only after confirming the problem in the field. Check weather before any field spray."
Ferrous Sulphate,"For cucumber crops, use when fruit drop is seen at the after first symptom appearance. Use as a preventive support when risk is high. Prefer soil testing for repeated nutrient issues."
Calcium Nitrate,"For pumpkin crops, use when seedling disease is seen at the when crop growth slows down. Use in an integrated pest management plan. Rotate methods to reduce resistance risk."
Potassium Nitrate,"For watermelon crops, use when weed pressure is seen at the flowering stage. Use when symptoms first appear and monitor results. Combine with sanitation and field monitoring."
Boron Spray,"For rice crops, use when aphids is seen at the when pest count increases. Use for bio-based field protection and crop support. Keep a record of field observations."
Gypsum,"For wheat crops, use when mites is seen at the early crop stage. Use only as per label and local agriculture advice. Check weather before any field spray."
Lime,"For maize crops, use when powdery mildew is seen at the during humid weather. Use only after confirming the problem in the field. Prefer soil testing for repeated nutrient issues."
Sticky Trap,"For cotton crops, use when early blight is seen at the before disease spreads widely. Use as a preventive support when risk is high. Rotate methods to reduce resistance risk."
Pheromone Trap,"For tomato crops, use when wilt is seen at the fruiting stage. Use in an integrated pest management plan. Combine with sanitation and field monitoring."
Spinosad,"For chili crops, use when poor flowering is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Keep a record of field observations."
Horticultural Soap,"For potato crops, use when moisture stress is seen at the vegetative stage. Use for bio-based field protection and crop support. Check weather before any field spray."
Compost Tea,"For onion crops, use when bacterial spotting is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Prefer soil testing for repeated nutrient issues."
Silicon Supplement,"For garlic crops, use when sucking pests is seen at the during transplant recovery. Use only after confirming the problem in the field. Rotate methods to reduce resistance risk."
Mycorrhiza,"For brinjal crops, use when thrips is seen at the after first symptom appearance. Use as a preventive support when risk is high. Combine with sanitation and field monitoring."
Biochar,"For cabbage crops, use when leaf folder is seen at the when crop growth slows down. Use in an integrated pest management plan. Keep a record of field observations."
Neem Oil,"For cauliflower crops, use when leaf spot is seen at the flowering stage. Use when symptoms first appear and monitor results. Check weather before any field spray."
Azadirachtin,"For okra crops, use when root rot is seen at the when pest count increases. Use for bio-based field protection and crop support. Prefer soil testing for repeated nutrient issues."
Trichoderma viride,"For grapes crops, use when yellowing leaves is seen at the early crop stage. Use only as per label and local agriculture advice. Rotate methods to reduce resistance risk."
Pseudomonas fluorescens,"For banana crops, use when soil health stress is seen at the during humid weather. Use only after confirming the problem in the field. Combine with sanitation and field monitoring."
Bacillus subtilis,"For mango crops, use when fungal infection is seen at the before disease spreads widely. Use as a preventive support when risk is high. Keep a record of field observations."
Bacillus thuringiensis (Bt),"For apple crops, use when fruit borer is seen at the fruiting stage. Use in an integrated pest management plan. Check weather before any field spray."
Copper Oxychloride,"For soybean crops, use when whiteflies is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Prefer soil testing for repeated nutrient issues."
Mancozeb,"For groundnut crops, use when stem borer is seen at the vegetative stage. Use for bio-based field protection and crop support. Rotate methods to reduce resistance risk."
Sulphur Dust,"For sugarcane crops, use when downy mildew is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Combine with sanitation and field monitoring."
Humic Acid,"For tea crops, use when late blight is seen at the during transplant recovery. Use only after confirming the problem in the field. Keep a record of field observations."
Seaweed Extract,"For coffee crops, use when nutrient deficiency is seen at the after first symptom appearance. Use as a preventive support when risk is high. Check weather before any field spray."
Zinc Sulphate,"For cucumber crops, use when fruit drop is seen at the when crop growth slows down. Use in an integrated pest management plan. Prefer soil testing for repeated nutrient issues."
Ferrous Sulphate,"For pumpkin crops, use when seedling disease is seen at the flowering stage. Use when symptoms first appear and monitor results. Rotate methods to reduce resistance risk."
Calcium Nitrate,"For watermelon crops, use when weed pressure is seen at the when pest count increases. Use for bio-based field protection and crop support. Combine with sanitation and field monitoring."
Potassium Nitrate,"For rice crops, use when aphids is seen at the early crop stage. Use only as per label and local agriculture advice. Keep a record of field observations."
Boron Spray,"For wheat crops, use when mites is seen at the during humid weather. Use only after confirming the problem in the field. Check weather before any field spray."
Gypsum,"For maize crops, use when powdery mildew is seen at the before disease spreads widely. Use as a preventive support when risk is high. Prefer soil testing for repeated nutrient issues."
Lime,"For cotton crops, use when early blight is seen at the fruiting stage. Use in an integrated pest management plan. Rotate methods to reduce resistance risk."
Sticky Trap,"For tomato crops, use when wilt is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Combine with sanitation and field monitoring."
Pheromone Trap,"For chili crops, use when poor flowering is seen at the vegetative stage. Use for bio-based field protection and crop support. Keep a record of field observations."
Spinosad,"For potato crops, use when moisture stress is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Check weather before any field spray."
Horticultural Soap,"For onion crops, use when bacterial spotting is seen at the during transplant recovery. Use only after confirming the problem in the field. Prefer soil testing for repeated nutrient issues."
Compost Tea,"For garlic crops, use when sucking pests is seen at the after first symptom appearance. Use as a preventive support when risk is high. Rotate methods to reduce resistance risk."
Silicon Supplement,"For brinjal crops, use when thrips is seen at the when crop growth slows down. Use in an integrated pest management plan. Combine with sanitation and field monitoring."
Mycorrhiza,"For cabbage crops, use when leaf folder is seen at the flowering stage. Use when symptoms first appear and monitor results. Keep a record of field observations."
Biochar,"For cauliflower crops, use when leaf spot is seen at the when pest count increases. Use for bio-based field protection and crop support. Check weather before any field spray."
Neem Oil,"For okra crops, use when root rot is seen at the early crop stage. Use only as per label and local agriculture advice. Prefer soil testing for repeated nutrient issues."
Azadirachtin,"For grapes crops, use when yellowing leaves is seen at the during humid weather. Use only after confirming the problem in the field. Rotate methods to reduce resistance risk."
Trichoderma viride,"For banana crops, use when soil health stress is seen at the before disease spreads widely. Use as a preventive support when risk is high. Combine with sanitation and field monitoring."
Pseudomonas fluorescens,"For mango crops, use when fungal infection is seen at the fruiting stage. Use in an integrated pest management plan. Keep a record of field observations."
Bacillus subtilis,"For apple crops, use when fruit borer is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Check weather before any field spray."
Bacillus thuringiensis (Bt),"For soybean crops, use when whiteflies is seen at the vegetative stage. Use for bio-based field protection and crop support. Prefer soil testing for repeated nutrient issues."
Copper Oxychloride,"For groundnut crops, use when stem borer is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Rotate methods to reduce resistance risk."
Mancozeb,"For sugarcane crops, use when downy mildew is seen at the during transplant recovery. Use only after confirming the problem in the field. Combine with sanitation and field monitoring."
Sulphur Dust,"For tea crops, use when late blight is seen at the after first symptom appearance. Use as a preventive support when risk is high. Keep a record of field observations."
Humic Acid,"For coffee crops, use when nutrient deficiency is seen at the when crop growth slows down. Use in an integrated pest management plan. Check weather before any field spray."
Seaweed Extract,"For cucumber crops, use when fruit drop is seen at the flowering stage. Use when symptoms first appear and monitor results. Prefer soil testing for repeated nutrient issues."
Zinc Sulphate,"For pumpkin crops, use when seedling disease is seen at the when pest count increases. Use for bio-based field protection and crop support. Rotate methods to reduce resistance risk."
Ferrous Sulphate,"For watermelon crops, use when weed pressure is seen at the early crop stage. Use only as per label and local agriculture advice. Combine with sanitation and field monitoring."
Calcium Nitrate,"For rice crops, use when aphids is seen at the during humid weather. Use only after confirming the problem in the field. Keep a record of field observations."
Potassium Nitrate,"For wheat crops, use when mites is seen at the before disease spreads widely. Use as a preventive support when risk is high. Check weather before any field spray."
Boron Spray,"For maize crops, use when powdery mildew is seen at the fruiting stage. Use in an integrated pest management plan. Prefer soil testing for repeated nutrient issues."
Gypsum,"For cotton crops, use when early blight is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Rotate methods to reduce resistance risk."
Lime,"For tomato crops, use when wilt is seen at the vegetative stage. Use for bio-based field protection and crop support. Combine with sanitation and field monitoring."
Sticky Trap,"For chili crops, use when poor flowering is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Keep a record of field observations."
Pheromone Trap,"For potato crops, use when moisture stress is seen at the during transplant recovery. Use only after confirming the problem in the field. Check weather before any field spray."
Spinosad,"For onion crops, use when bacterial spotting is seen at the after first symptom appearance. Use as a preventive support when risk is high. Prefer soil testing for repeated nutrient issues."
Horticultural Soap,"For garlic crops, use when sucking pests is seen at the when crop growth slows down. Use in an integrated pest management plan. Rotate methods to reduce resistance risk."
Compost Tea,"For brinjal crops, use when thrips is seen at the flowering stage. Use when symptoms first appear and monitor results. Combine with sanitation and field monitoring."
Silicon Supplement,"For cabbage crops, use when leaf folder is seen at the when pest count increases. Use for bio-based field protection and crop support. Keep a record of field observations."
Mycorrhiza,"For cauliflower crops, use when leaf spot is seen at the early crop stage. Use only as per label and local agriculture advice. Check weather before any field spray."
Biochar,"For okra crops, use when root rot is seen at the during humid weather. Use only after confirming the problem in the field. Prefer soil testing for repeated nutrient issues."
Neem Oil,"For grapes crops, use when yellowing leaves is seen at the before disease spreads widely. Use as a preventive support when risk is high. Rotate methods to reduce resistance risk."
Azadirachtin,"For banana crops, use when soil health stress is seen at the fruiting stage. Use in an integrated pest management plan. Combine with sanitation and field monitoring."
Trichoderma viride,"For mango crops, use when fungal infection is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Keep a record of field observations."
Pseudomonas fluorescens,"For apple crops, use when fruit borer is seen at the vegetative stage. Use for bio-based field protection and crop support. Check weather before any field spray."
Bacillus subtilis,"For soybean crops, use when whiteflies is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Prefer soil testing for repeated nutrient issues."
Bacillus thuringiensis (Bt),"For groundnut crops, use when stem borer is seen at the during transplant recovery. Use only after confirming the problem in the field. Rotate methods to reduce resistance risk."
Copper Oxychloride,"For sugarcane crops, use when downy mildew is seen at the after first symptom appearance. Use as a preventive support when risk is high. Combine with sanitation and field monitoring."
Mancozeb,"For tea crops, use when late blight is seen at the when crop growth slows down. Use in an integrated pest management plan. Keep a record of field observations."
Sulphur Dust,"For coffee crops, use when nutrient deficiency is seen at the flowering stage. Use when symptoms first appear and monitor results. Check weather before any field spray."
Humic Acid,"For cucumber crops, use when fruit drop is seen at the when pest count increases. Use for bio-based field protection and crop support. Prefer soil testing for repeated nutrient issues."
Seaweed Extract,"For pumpkin crops, use when seedling disease is seen at the early crop stage. Use only as per label and local agriculture advice. Rotate methods to reduce resistance risk."
Zinc Sulphate,"For watermelon crops, use when weed pressure is seen at the during humid weather. Use only after confirming the problem in the field. Combine with sanitation and field monitoring."
Ferrous Sulphate,"For rice crops, use when aphids is seen at the before disease spreads widely. Use as a preventive support when risk is high. Keep a record of field observations."
Calcium Nitrate,"For wheat crops, use when mites is seen at the fruiting stage. Use in an integrated pest management plan. Check weather before any field spray."
Potassium Nitrate,"For maize crops, use when powdery mildew is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Prefer soil testing for repeated nutrient issues."
Boron Spray,"For cotton crops, use when early blight is seen at the vegetative stage. Use for bio-based field protection and crop support. Rotate methods to reduce resistance risk."
Gypsum,"For tomato crops, use when wilt is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Combine with sanitation and field monitoring."
Lime,"For chili crops, use when poor flowering is seen at the during transplant recovery. Use only after confirming the problem in the field. Keep a record of field observations."
Sticky Trap,"For potato crops, use when moisture stress is seen at the after first symptom appearance. Use as a preventive support when risk is high. Check weather before any field spray."
Pheromone Trap,"For onion crops, use when bacterial spotting is seen at the when crop growth slows down. Use in an integrated pest management plan. Prefer soil testing for repeated nutrient issues."
Spinosad,"For garlic crops, use when sucking pests is seen at the flowering stage. Use when symptoms first appear and monitor results. Rotate methods to reduce resistance risk."
Horticultural Soap,"For brinjal crops, use when thrips is seen at the when pest count increases. Use for bio-based field protection and crop support. Combine with sanitation and field monitoring."
Compost Tea,"For cabbage crops, use when leaf folder is seen at the early crop stage. Use only as per label and local agriculture advice. Keep a record of field observations."
Silicon Supplement,"For cauliflower crops, use when leaf spot is seen at the during humid weather. Use only after confirming the problem in the field. Check weather before any field spray."
Mycorrhiza,"For okra crops, use when root rot is seen at the before disease spreads widely. Use as a preventive support when risk is high. Prefer soil testing for repeated nutrient issues."
Biochar,"For grapes crops, use when yellowing leaves is seen at the fruiting stage. Use in an integrated pest management plan. Rotate methods to reduce resistance risk."
Neem Oil,"For banana crops, use when soil health stress is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Combine with sanitation and field monitoring."
Azadirachtin,"For mango crops, use when fungal infection is seen at the vegetative stage. Use for bio-based field protection and crop support. Keep a record of field observations."
Trichoderma viride,"For apple crops, use when fruit borer is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Check weather before any field spray."
Pseudomonas fluorescens,"For soybean crops, use when whiteflies is seen at the during transplant recovery. Use only after confirming the problem in the field. Prefer soil testing for repeated nutrient issues."
Bacillus subtilis,"For groundnut crops, use when stem borer is seen at the after first symptom appearance. Use as a preventive support when risk is high. Rotate methods to reduce resistance risk."
Bacillus thuringiensis (Bt),"For sugarcane crops, use when downy mildew is seen at the when crop growth slows down. Use in an integrated pest management plan. Combine with sanitation and field monitoring."
Copper Oxychloride,"For tea crops, use when late blight is seen at the flowering stage. Use when symptoms first appear and monitor results. Keep a record of field observations."
Mancozeb,"For coffee crops, use when nutrient deficiency is seen at the when pest count increases. Use for bio-based field protection and crop support. Check weather before any field spray."
Sulphur Dust,"For cucumber crops, use when fruit drop is seen at the early crop stage. Use only as per label and local agriculture advice. Prefer soil testing for repeated nutrient issues."
Humic Acid,"For pumpkin crops, use when seedling disease is seen at the during humid weather. Use only after confirming the problem in the field. Rotate methods to reduce resistance risk."
Seaweed Extract,"For watermelon crops, use when weed pressure is seen at the before disease spreads widely. Use as a preventive support when risk is high. Combine with sanitation and field monitoring."
Zinc Sulphate,"For rice crops, use when aphids is seen at the fruiting stage. Use in an integrated pest management plan. Keep a record of field observations."
Ferrous Sulphate,"For wheat crops, use when mites is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Check weather before any field spray."
Calcium Nitrate,"For maize crops, use when powdery mildew is seen at the vegetative stage. Use for bio-based field protection and crop support. Prefer soil testing for repeated nutrient issues."
Potassium Nitrate,"For cotton crops, use when early blight is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Rotate methods to reduce resistance risk."
Boron Spray,"For tomato crops, use when wilt is seen at the during transplant recovery. Use only after confirming the problem in the field. Combine with sanitation and field monitoring."
Gypsum,"For chili crops, use when poor flowering is seen at the after first symptom appearance. Use as a preventive support when risk is high. Keep a record of field observations."
Lime,"For potato crops, use when moisture stress is seen at the when crop growth slows down. Use in an integrated pest management plan. Check weather before any field spray."
Sticky Trap,"For onion crops, use when bacterial spotting is seen at the flowering stage. Use when symptoms first appear and monitor results. Prefer soil testing for repeated nutrient issues."
Pheromone Trap,"For garlic crops, use when sucking pests is seen at the when pest count increases. Use for bio-based field protection and crop support. Rotate methods to reduce resistance risk."
Spinosad,"For brinjal crops, use when thrips is seen at the early crop stage. Use only as per label and local agriculture advice. Combine with sanitation and field monitoring."
Horticultural Soap,"For cabbage crops, use when leaf folder is seen at the during humid weather. Use only after confirming the problem in the field. Keep a record of field observations."
Compost Tea,"For cauliflower crops, use when leaf spot is seen at the before disease spreads widely. Use as a preventive support when risk is high. Check weather before any field spray."
Silicon Supplement,"For okra crops, use when root rot is seen at the fruiting stage. Use in an integrated pest management plan. Prefer soil testing for repeated nutrient issues."
Mycorrhiza,"For grapes crops, use when yellowing leaves is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Rotate methods to reduce resistance risk."
Biochar,"For banana crops, use when soil health stress is seen at the vegetative stage. Use for bio-based field protection and crop support. Combine with sanitation and field monitoring."
Neem Oil,"For mango crops, use when fungal infection is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Keep a record of field observations."
Azadirachtin,"For apple crops, use when fruit borer is seen at the during transplant recovery. Use only after confirming the problem in the field. Check weather before any field spray."
Trichoderma viride,"For soybean crops, use when whiteflies is seen at the after first symptom appearance. Use as a preventive support when risk is high. Prefer soil testing for repeated nutrient issues."
Pseudomonas fluorescens,"For groundnut crops, use when stem borer is seen at the when crop growth slows down. Use in an integrated pest management plan. Rotate methods to reduce resistance risk."
Bacillus subtilis,"For sugarcane crops, use when downy mildew is seen at the flowering stage. Use when symptoms first appear and monitor results. Combine with sanitation and field monitoring."
Bacillus thuringiensis (Bt),"For tea crops, use when late blight is seen at the when pest count increases. Use for bio-based field protection and crop support. Keep a record of field observations."
Copper Oxychloride,"For coffee crops, use when nutrient deficiency is seen at the early crop stage. Use only as per label and local agriculture advice. Check weather before any field spray."
Mancozeb,"For cucumber crops, use when fruit drop is seen at the during humid weather. Use only after confirming the problem in the field. Prefer soil testing for repeated nutrient issues."
Sulphur Dust,"For pumpkin crops, use when seedling disease is seen at the before disease spreads widely. Use as a preventive support when risk is high. Rotate methods to reduce resistance risk."
Humic Acid,"For watermelon crops, use when weed pressure is seen at the fruiting stage. Use in an integrated pest management plan. Combine with sanitation and field monitoring."
Seaweed Extract,"For rice crops, use when aphids is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Keep a record of field observations."
Zinc Sulphate,"For wheat crops, use when mites is seen at the vegetative stage. Use for bio-based field protection and crop support. Check weather before any field spray."
Ferrous Sulphate,"For maize crops, use when powdery mildew is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Prefer soil testing for repeated nutrient issues."
Calcium Nitrate,"For cotton crops, use when early blight is seen at the during transplant recovery. Use only after confirming the problem in the field. Rotate methods to reduce resistance risk."
Potassium Nitrate,"For tomato crops, use when wilt is seen at the after first symptom appearance. Use as a preventive support when risk is high. Combine with sanitation and field monitoring."
Boron Spray,"For chili crops, use when poor flowering is seen at the when crop growth slows down. Use in an integrated pest management plan. Keep a record of field observations."
Gypsum,"For potato crops, use when moisture stress is seen at the flowering stage. Use when symptoms first appear and monitor results. Check weather before any field spray."
Lime,"For onion crops, use when bacterial spotting is seen at the when pest count increases. Use for bio-based field protection and crop support. Prefer soil testing for repeated nutrient issues."
Sticky Trap,"For garlic crops, use when sucking pests is seen at the early crop stage. Use only as per label and local agriculture advice. Rotate methods to reduce resistance risk."
Pheromone Trap,"For brinjal crops, use when thrips is seen at the during humid weather. Use only after confirming the problem in the field. Combine with sanitation and field monitoring."
Spinosad,"For cabbage crops, use when leaf folder is seen at the before disease spreads widely. Use as a preventive support when risk is high. Keep a record of field observations."
Horticultural Soap,"For cauliflower crops, use when leaf spot is seen at the fruiting stage. Use in an integrated pest management plan. Check weather before any field spray."
Compost Tea,"For okra crops, use when root rot is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Prefer soil testing for repeated nutrient issues."
Silicon Supplement,"For grapes crops, use when yellowing leaves is seen at the vegetative stage. Use for bio-based field protection and crop support. Rotate methods to reduce resistance risk."
Mycorrhiza,"For banana crops, use when soil health stress is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Combine with sanitation and field monitoring."
Biochar,"For mango crops, use when fungal infection is seen at the during transplant recovery. Use only after confirming the problem in the field. Keep a record of field observations."
Neem Oil,"For apple crops, use when fruit borer is seen at the after first symptom appearance. Use as a preventive support when risk is high. Check weather before any field spray."
Azadirachtin,"For soybean crops, use when whiteflies is seen at the when crop growth slows down. Use in an integrated pest management plan. Prefer soil testing for repeated nutrient issues."
Trichoderma viride,"For groundnut crops, use when stem borer is seen at the flowering stage. Use when symptoms first appear and monitor results. Rotate methods to reduce resistance risk."
Pseudomonas fluorescens,"For sugarcane crops, use when downy mildew is seen at the when pest count increases. Use for bio-based field protection and crop support. Combine with sanitation and field monitoring."
Bacillus subtilis,"For tea crops, use when late blight is seen at the early crop stage. Use only as per label and local agriculture advice. Keep a record of field observations."
Bacillus thuringiensis (Bt),"For coffee crops, use when nutrient deficiency is seen at the during humid weather. Use only after confirming the problem in the field. Check weather before any field spray."
Copper Oxychloride,"For cucumber crops, use when fruit drop is seen at the before disease spreads widely. Use as a preventive support when risk is high. Prefer soil testing for repeated nutrient issues."
Mancozeb,"For pumpkin crops, use when seedling disease is seen at the fruiting stage. Use in an integrated pest management plan. Rotate methods to reduce resistance risk."
